Company name;Number of employees;Country;City;;
Compagnie Senegalaise De Textiles - Cosetex;139;Senegal;Dakar;;
Compagnie Textile De L'ouest Africain - Cotoa Sa;75;Senegal;Dakar;;
Filature Tissage De Thies - Fit;;Senegal;Dakar;;
Massata Senegal;100;Senegal;Dakar;;
Moustapha Sidibe;5;Senegal;Dakar;;
SOCIETE TEXTILE DE KAOLACK;550;Senegal;;;
Venus Industrie Incoporate - Nina;215;Senegal;Dakar;;
Alkem Nigeria Limited - Alkem;40;Nigeria;;;
Aswani Textile Industries Plc;120;Nigeria;Lagos;;
Bidat Sportswear Company Ltd - Bidat;91;Nigeria;Lagos;;
BRANDS INTERNATIONAL COMPANY LTD;2;Nigeria;;;
Chemlap Nigeria Limited;220;Nigeria;Abia State;;
Elite Textile Industries Nigeria Ltd;100;Nigeria;Lagos;;
Finetex Ltd;500;Nigeria;Kaduna State;;
International Textile Industries Ltd;520;Nigeria;Lagos;;
M&S TEXTILES INDUSTRIES NIG. LTD;100;Nigeria;Lagos;;
Naraindas Essardas Ltd - Nes;;Nigeria;;;
Nigeria Textile Products Ltd;55;Nigeria;Kano;;
Nigerian Spinners & Dyers Ltd;350;Nigeria;Kano State;;
Roland Resources Limited;15;Nigeria;Abia State;;
S. B. CHEMICALS LIMITED;;Nigeria;Lagos;;
Sa-Pinnacle Limited;8;Nigeria;Aba, Abia State;;
SIGMA INTERNATIONAL LIMITED;;Nigeria;Lagos;;
United Nigerian Textiles Plc;8251;Nigeria;Kaduna;;
UNIVERSAL TEXTILE INDUSTRIES LIMITED;;Nigeria;;;
Universal Textile Industries Ltd;235;Nigeria;Kano;;
Zaria Industries Ltd;100;Nigeria;Kaduna State;;
Company name;Number of employees;Country;City;;
ETABLISSEMENTS ROBERT GONFREVILLE;1000;Côte d'Ivoire;Cote D'ivoire;;
Filature Et Tissage De Gonfreville Sa - Ftg;950;Côte d'Ivoire;Abidjan;;
Filature Tissage Sacs De Cote D'ivoire - Filtisac;1500;Côte d'Ivoire;Abidjan;;
Filatures, Tissages, Sacs, Cote D Ivoire Sa - Filature Tissage Sac;2193;Côte d'Ivoire;Abidjan 01;;
FILIVOIRE SA;;Côte d'Ivoire;Abidjan;;
MITSUBISHI CORPORATION BUREAU DE LIAISON D'ABIDJAN;;Côte d'Ivoire;Abidjan;;
Texicoda S A;260;Côte d'Ivoire;Bouake;;
Texicodi S A;420;Côte d'Ivoire;Abidjan;;
Union Textile De Cote D'ivoire - Utexi;989;Côte d'Ivoire;Abidjan;;
;;;;;
Company name;Number of employees;Country;City;;
Afridis Cameroun - Afrique Distribution;12;Cameroon;Douala;;
Afrique Asie Import Export Co Ltd;6;Cameroon;Douala;;
ALHADJI SIDDIKI BOUBA GAIGAI;50;Cameroon;;;
Auxiliaires Du Batiment Et De Construction Sa - Aubac;20;Cameroon;Douala;;
Bonn Group Company Ltd;30;Cameroon;Bamenda;;
Chinago Investment Limited;11;Cameroon;Bonaberi;;
Colgate Palmolive - Colgate Palmolive Cameroun;52;Cameroon;Douala;;
Compagnie Africaine Pour La Promotion Industrielle Et Commerciale;188;Cameroon;Douala;;
DEE LITE SARL;80;Cameroon;Douala;;
DEE-LITE SARL;1500;Cameroon;Douala;;
Elegance Cameroun;3;Cameroon;Doula;;
ETABLISSEMENT UNIQUE TRADING CORP;22;Cameroon;Douala;;
Ets Ace International;7;Cameroon;Douala;;
Ets Creative;3;Cameroon;Douala;;
ETS DANTENI;20;Cameroon;Douala;;
ETS JEVENKO HOLDINGS;18;Cameroon;Douala;;
ETS KAPS INTERNATIONAL;;Cameroon;Yaounde;;
